,Author,Title,State,District,Description,DateBan
13162,"Arnold, Elana K.",What Girls Are Made Of,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13163,"Lukoff, Kyle",Call Me Max,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13164,"Ford, J. R.",Calvin,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13165,"Foer, Jonathan Safran",Extremely Loud & Incredibly Close,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13166,"Callender, Kacen",Felix Ever After,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13167,"Kobabe, Maia",Gender Queer: A Memoir,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13168,"Jennings, Jazz",I Am Jazz,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13169,"Russo, Meredith",If I Was Your Girl,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13170,"Myracle, Lauren","l8r, g8r",Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13171,"Evison, Jonathan",Lawn Boy,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13172,"Gephart, Donna",Lily and Dunkin,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13173,"Nabokov, Vladimir",Lolita,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13174,"Gino, Alex",Melissa,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13175,"Jackson, Tiffany D.",Monday's Not Coming,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13176,"Wittlinger, Ellen",Parrotfish,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13177,"Emezi, Akwaeke",Pet,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13178,Sapphire,Push,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13179,"Reid, Taylor Jenkins",The Seven Husbands of Evelyn Hugo,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13180,"Dawson, Juno",This Book Is Gay,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13181,"Hoover, Colleen",Ugly Love,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13182,"Hoover, Colleen",Verity,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13183,"Lukoff, Kyle",When Aidan Became a Brother,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13184,"Bunker, Lisa",Zenobia July,Minnesota,"Bloomington, Bloomington Public Schools","No Action, No Formal Challenge Yet? Using ratedbooks.org parents mobilizing and community members on books., https://www.petitions.net/petition_for_immediate_removal_of_sexually_explicit_books_in_isd_271_schools, https://www.mprnews.org/story/2023/10/12/book-ban-attempts-on-the-rise-in-minnesota-schools",2023-10-01
13185,"Andrews, Jesse",Me and Earl and the Dying Girl,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, After a policy vote, the Board gave themselves power to unilatealy remove or retain any materials. They said it was bacause of VA Law. That night they banned 19 books, https://www.nbc12.com/2023/06/14/hanover-county-school-board-votes-adopt-new-controversial-book-policy/",2023-6-01
13186,"Arnold, Elana K.",Red Hood,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, After a policy vote, the Board gave themselves power to unilatealy remove or retain any materials. They said it was bacause of VA Law. That night they banned 19 books, https://www.nbc12.com/2023/06/14/hanover-county-school-board-votes-adopt-new-controversial-book-policy/",2023-6-01
13187,"Arnold, Elana K.",Infandous,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, After a policy vote, the Board gave themselves power to unilatealy remove or retain any materials. They said it was bacause of VA Law. That night they banned 19 books, https://www.nbc12.com/2023/06/14/hanover-county-school-board-votes-adopt-new-controversial-book-policy/",2023-6-01
13188,"Curato, Mike",Flamer,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, After a policy vote, the Board gave themselves power to unilatealy remove or retain any materials. They said it was bacause of VA Law. That night they banned 19 books, https://www.nbc12.com/2023/06/14/hanover-county-school-board-votes-adopt-new-controversial-book-policy/",2023-6-01
13189,"Dawson, Juno",This Book Is Gay,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, After a policy vote, the Board gave themselves power to unilatealy remove or retain any materials. They said it was bacause of VA Law. That night they banned 19 books, https://www.nbc12.com/2023/06/14/hanover-county-school-board-votes-adopt-new-controversial-book-policy/",2023-6-01
13190,"Green, John",Looking for Alaska,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, After a policy vote, the Board gave themselves power to unilatealy remove or retain any materials. They said it was bacause of VA Law. That night they banned 19 books, https://www.nbc12.com/2023/06/14/hanover-county-school-board-votes-adopt-new-controversial-book-policy/",2023-6-01
13191,"Gruen, Sara",Water for Elephants,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, After a policy vote, the Board gave themselves power to unilatealy remove or retain any materials. They said it was bacause of VA Law. That night they banned 19 books, https://www.nbc12.com/2023/06/14/hanover-county-school-board-votes-adopt-new-controversial-book-policy/",2023-6-01
13192,"Hopkins, Ellen",Identical,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, After a policy vote, the Board gave themselves power to unilatealy remove or retain any materials. They said it was bacause of VA Law. That night they banned 19 books, https://www.nbc12.com/2023/06/14/hanover-county-school-board-votes-adopt-new-controversial-book-policy/",2023-6-01
13193,"Hopkins, Ellen",Tilt,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, After a policy vote, the Board gave themselves power to unilatealy remove or retain any materials. They said it was bacause of VA Law. That night they banned 19 books, https://www.nbc12.com/2023/06/14/hanover-county-school-board-votes-adopt-new-controversial-book-policy/",2023-6-01
13194,"Hopkins, Ellen",Tricks,Virginia,"Ashland, Hanover County Public Schools","Tricks, Banned/Removed, After a policy vote, the Board gave themselves power to unilatealy remove or retain any materials. They said it was bacause of VA Law. That night they banned 19 books, https://www.nbc12.com/2023/06/14/hanover-county-school-board-votes-adopt-new-controversial-book-policy/",2023-6-01
13195,"Johnson, George M.",All Boys Aren't Blue,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, After a policy vote, the Board gave themselves power to unilatealy remove or retain any materials. They said it was bacause of VA Law. That night they banned 19 books, https://www.nbc12.com/2023/06/14/hanover-county-school-board-votes-adopt-new-controversial-book-policy/",2023-6-01
13196,"Maas, Sarah J.",A Court of Mist and Fury,Virginia,"Ashland, Hanover County Public Schools","A Court of Thorns and Roses, Banned/Removed, After a policy vote, the Board gave themselves power to unilatealy remove or retain any materials. They said it was bacause of VA Law. That night they banned 19 books, https://www.nbc12.com/2023/06/14/hanover-county-school-board-votes-adopt-new-controversial-book-policy/",2023-6-01
13197,"Maas, Sarah J.",A ​Court of Silver Flames,Virginia,"Ashland, Hanover County Public Schools","A Court of Thorns and Roses, Banned/Removed, After a policy vote, the Board gave themselves power to unilatealy remove or retain any materials. They said it was bacause of VA Law. That night they banned 19 books, https://www.nbc12.com/2023/06/14/hanover-county-school-board-votes-adopt-new-controversial-book-policy/",2023-6-01
13198,"Moen, Erika","Let's Talk About It: The Teen's Guide to Sex, Relationships, and Being a Human (A Graphic Novel)",Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, After a policy vote, the Board gave themselves power to unilatealy remove or retain any materials. They said it was bacause of VA Law. That night they banned 19 books, https://www.nbc12.com/2023/06/14/hanover-county-school-board-votes-adopt-new-controversial-book-policy/",2023-6-01
13199,"Morrison, Toni",The Bluest Eye,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, After a policy vote, the Board gave themselves power to unilatealy remove or retain any materials. They said it was bacause of VA Law. That night they banned 19 books, https://www.nbc12.com/2023/06/14/hanover-county-school-board-votes-adopt-new-controversial-book-policy/",2023-6-01
13200,"Palahniuk, Chuck",Choke (CP),Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, After a policy vote, the Board gave themselves power to unilatealy remove or retain any materials. They said it was bacause of VA Law. That night they banned 19 books, https://www.nbc12.com/2023/06/14/hanover-county-school-board-votes-adopt-new-controversial-book-policy/",2023-6-01
13201,"Sebold, Alice",Lucky,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, After a policy vote, the Board gave themselves power to unilatealy remove or retain any materials. They said it was bacause of VA Law. That night they banned 19 books, https://www.nbc12.com/2023/06/14/hanover-county-school-board-votes-adopt-new-controversial-book-policy/",2023-6-01
13202,"McCormick, Patricia",Sold,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, After a policy vote, the Board gave themselves power to unilatealy remove or retain any materials. They said it was bacause of VA Law. That night they banned 19 books, https://www.nbc12.com/2023/06/14/hanover-county-school-board-votes-adopt-new-controversial-book-policy/",2023-6-01
13203,"Acevedo, Elizabeth",The Poet X,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13204,"Adichie, Chimamanda Ngozi",Half of a Yellow Sun,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13205,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13206,"Anderson, Laurie Halse",Shout,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13207,"Anderson, Laurie Halse",Speak: The Graphic Novel,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13208,"Andrews, Jesse",The Haters,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13209,"Arnold, Elana K.",What Girls Are Made Of,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13210,"Arnold, Elana K.",Damsel,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13211,"Asher, Jay",Thirteen Reasons Why,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13212,"Atwood, Margaret",Oryx and Crake,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13213,"Atwood, Margaret",The Handmaid's Tale,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13214,"Blume, Judy",Forever…,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13215,"Callender, Kacen",Felix Ever After,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13216,"Chbosky, Stephen",The Perks of Being a Wallflower,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13217,"Choi, Mary H.K.",Yolk,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13218,"Foley, Jessie Ann",The Carnival at Bray,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13219,"Forman, Gayle",If I Stay,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13220,"Frank, E. R.",Dime,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13221,"Frank, E. R.",Life is Funny,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13222,"Gottfred, B. T.",Forever for a Year,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13223,"Gruwell, Erin",The Freedom Writers Diary,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13224,"Gyasi, Yaa",Homegoing,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13225,"Hill, Katie Rain",Rethinking Normal: A Memoir in Transition,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13226,"Hopkins, Ellen",Crank,Virginia,"Ashland, Hanover County Public Schools","Crank, Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13227,"Hopkins, Ellen",People Kill People,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13228,"Hopkins, Ellen",Perfect,Virginia,"Ashland, Hanover County Public Schools","Impulse, Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13229,"Hopkins, Ellen",Fallout,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13230,"Hopkins, Ellen",Glass,Virginia,"Ashland, Hanover County Public Schools","Crank, Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13231,"Hopkins, Ellen",Impulse,Virginia,"Ashland, Hanover County Public Schools","Impulse, Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13232,"Hopkins, Ellen",Rumble,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13233,"Hopkins, Ellen",Smoke,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13234,"Hopper, Laura",I Never,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13235,"Hutchinson, Shaun David",We Are the Ants,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13236,"Jackson, Tiffany D.",Monday's Not Coming,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13237,"Jackson, Tiffany D.",Grown,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13238,"Kaur, Rupi",The Sun and Her Flowers,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13239,"Kaur, Rupi",Milk and Honey,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13240,"King, A. S.",Dig,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13241,"Larsson, Stieg",The Girl with the Dragon Tattoo,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13242,"Lo, Malinda",Last Night at the Telegraph Club,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13243,"Maas, Sarah J.",A Court of Frost and Starlight,Virginia,"Ashland, Hanover County Public Schools","A Court of Thorns and Roses, Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13244,"Maas, Sarah J.",A Court of Thorns and Roses,Virginia,"Ashland, Hanover County Public Schools","A Court of Thorns and Roses, Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13245,"Maas, Sarah J.",A Court of Wings and Ruin,Virginia,"Ashland, Hanover County Public Schools","A Court of Thorns and Roses, Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13246,"Maas, Sarah J.",Empire of Storms,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13247,"Maas, Sarah J.",House of Earth and Blood,Virginia,"Ashland, Hanover County Public Schools","Crescent City, Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13248,"Maas, Sarah J.",Tower of Dawn,Virginia,"Ashland, Hanover County Public Schools","Throne of Glass, Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13249,"Mackler, Carolyn",Guyaholic,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13250,"Maguire, Gregory",Wicked: The Life and Times of the Wicked Witch of the West,Virginia,"Ashland, Hanover County Public Schools","The Wicked Years, Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13251,"McCarthy, Cory",Man o' War,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13252,"McQuiston, Casey","Red, White, and Royal Blue",Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13253,"Murakami, Haruki",The Wind-Up Bird Chronicle,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13254,"Myers, Jason",Dead End,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13255,"Myers, Jason",Exit Here.,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13256,"Myracle, Lauren",Shine,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
13257,"Myracle, Lauren",The Infinite Moment of Us,Virginia,"Ashland, Hanover County Public Schools","Banned/Removed, SS Librarians & Admin were given list of books to review using excerpts - and if the selections met explicit, they had to remove. They were told failure to complete would be a reprimand., PDF FILES",2023-11-01
